datetime,id_casa,produccion_kWh,num_placas,irradiancia_W_m2,temperatura,nubosidad,festivo
2017-07-27 00:00:00,1,0.0,4,0.0,24.27,100.0,0
2017-08-02 19:00:00,1,0.0,4,0.0,26.85,100.0,0
2017-08-02 23:00:00,1,0.0,4,0.0,26.34,100.0,0
2017-09-05 10:00:00,1,0.498144,4,622.68,24.18,34.7,0
2017-11-11 01:00:00,1,0.0,4,0.0,16.44,100.0,0
2018-01-31 09:00:00,1,0.288424,4,360.53,12.11,62.2,0
2018-03-02 02:00:00,1,0.0,4,0.0,13.46,100.0,0
2018-04-14 07:00:00,1,0.0,4,0.0,12.9,100.0,0
2018-04-23 00:00:00,1,0.0,4,0.0,14.98,100.0,0
2018-09-05 01:00:00,1,0.0,4,0.0,24.13,100.0,0
2018-10-13 17:00:00,1,0.0,4,0.0,22.23,100.0,0
2018-11-03 08:00:00,1,0.201344,4,251.68,14.63,73.6,0
2018-11-20 03:00:00,1,0.0,4,0.0,13.72,100.0,0
2018-12-07 02:00:00,1,0.0,4,0.0,14.83,100.0,0
2018-12-08 05:00:00,1,0.0,4,0.0,14.25,100.0,1
2019-01-05 05:00:00,1,0.0,4,0.0,8.48,100.0,0
2019-01-17 05:00:00,1,0.0,4,0.0,8.95,100.0,0
2019-01-25 20:00:00,1,0.0,4,0.0,11.76,100.0,0
2019-02-01 06:00:00,1,0.0,4,0.0,14.16,100.0,0
2019-04-13 05:00:00,1,0.0,4,0.0,11.25,100.0,0
2019-04-30 15:00:00,1,0.457376,4,571.72,15.12,40.0,0
2019-05-16 14:00:00,1,0.221216,4,276.52,16.02,71.0,0
2019-09-21 07:00:00,1,0.0,4,0.0,21.56,100.0,0
2019-09-30 02:00:00,1,0.0,4,0.0,22.57,100.0,0
2019-10-08 02:00:00,1,0.0,4,0.0,20.95,100.0,0
2019-10-13 10:00:00,1,0.02448,4,30.6,22.18,96.8,0
2019-11-02 02:00:00,1,0.0,4,0.0,20.04,100.0,0
2019-11-10 10:00:00,1,0.099024,4,123.78,12.68,87.0,0
2020-01-02 07:00:00,1,0.0,4,0.0,10.72,100.0,0
2017-06-25 23:00:00,2,0.0,0,0.0,23.8,100.0,0
2017-07-07 23:00:00,2,0.0,0,0.0,23.85,100.0,0
2017-09-03 17:00:00,2,0.0,0,89.71,23.89,90.6,0
2017-09-05 15:00:00,2,0.0,0,521.68,24.58,45.3,0
2017-09-12 02:00:00,2,0.0,0,0.0,21.73,100.0,0
2017-09-21 13:00:00,2,0.0,0,683.67,22.41,28.3,0
2017-11-16 05:00:00,2,0.0,0,0.0,14.52,100.0,0
2017-11-25 10:00:00,2,0.0,0,0.0,17.81,100.0,0
2018-01-01 22:00:00,2,0.0,0,0.0,14.45,100.0,1
2018-04-18 06:00:00,2,0.0,0,17.08,14.09,98.2,0
2018-05-26 10:00:00,2,0.0,0,356.66,19.07,62.6,0
2018-06-19 07:00:00,2,0.0,0,242.49,21.97,74.6,0
2018-07-01 06:00:00,2,0.0,0,48.79,22.87,94.9,0
2018-10-07 20:00:00,2,0.0,0,0.0,19.49,100.0,0
2019-01-21 01:00:00,2,0.0,0,0.0,9.72,100.0,0
2019-02-11 09:00:00,2,0.0,0,193.2,11.85,79.7,0
2019-05-04 17:00:00,2,0.0,0,157.19,15.23,83.5,0
2019-05-18 20:00:00,2,0.0,0,0.0,16.22,100.0,0
2019-06-17 02:00:00,2,0.0,0,0.0,19.16,100.0,0
2019-07-14 12:00:00,2,0.0,0,2.13,25.18,99.8,0
2019-08-17 17:00:00,2,0.0,0,183.58,26.18,80.7,0
2019-10-21 08:00:00,2,0.0,0,6.35,17.19,99.3,0
2018-08-31 05:00:00,3,0.0,0,0.0,22.06,100.0,0
2018-09-25 13:00:00,3,0.0,0,636.11,22.63,33.3,0
2018-11-13 04:00:00,3,0.0,0,0.0,17.54,100.0,0
2018-11-14 16:00:00,3,0.0,0,31.32,17.97,96.7,0
